Ulricehamn       ;24 898;194;246;262;-16;1 316;853;355;108;1 116;720;340;56;200;133;15;52;10
Vara             ;16 162;66;183;200;-17;944;647;192;105;864;614;206;44;80;33;-14;61;3
Vårgårda         ;12 180;234;123;117;6;910;715;129;66;684;538;127;19;226;177;2;47;2
Vänersborg       ;39 636;12;416;441;-25;1 992;1 348;385;259;1 968;1 303;511;154;24;45;-126;105;13
Åmål             ;12 318;-123;91;147;-56;542;255;258;29;610;223;349;38;-68;32;-91;-9;1
Öckerö           ;12 902;-32;89;124;-35;602;426;100;76;601;441;120;40;1;-15;-20;36;2
Värmland         ;283 196;311;2 634;3 251;-617;8 414;.;6 711;1 703;7 603;.;6 610;993;811;.;101;710;117
Arvika           ;25 854;-78;214;314;-100;1 016;418;466;132;999;402;496;101;17;16;-30;31;5
Eda              ;8 490;-60;78;106;-28;471;214;117;140;511;213;147;151;-40;1;-30;-11;8
Filipstad        ;10 403;-100;93;166;-73;516;159;296;61;548;172;350;26;-32;-13;-54;35;5
Forshaga         ;11 606;82;108;121;-13;724;504;174;46;631;481;137;13;93;23;37;33;2
Grums            ;9 091;48;98;106;-8;501;324;136;41;445;312;124;9;56;12;12;32;0
Hagfors          ;11 553;36;86;185;-99;573;197;242;134;463;211;214;38;110;-14;28;96;25
Hammarö          ;16 765;97;158;137;21;872;601;224;47;797;573;193;31;75;28;31;16;1
Karlstad         ;95 408;580;962;883;79;5 819;2 299;3 055;465;5 343;2 125;2 912;306;476;174;143;159;25
Kil              ;12 134;19;138;133;5;593;423;131;39;581;438;126;17;12;-15;5;22;2
Kristinehamn     ;24 099;-91;194;303;-109;1 061;315;630;116;1 051;348;637;66;10;-33;-7;50;8
Munkfors         ;3 680;-45;36;65;-29;232;112;71;49;251;145;91;15;-19;-33;-20;34;3
Storfors         ;3 948;-42;35;40;-5;260;80;148;32;302;104;181;17;-42;-24;-33;15;5
Sunne            ;13 355;20;111;158;-47;628;293;257;78;568;316;230;22;60;-23;27;56;7
Säffle           ;15 396;-24;138;224;-86;814;284;438;92;761;288;437;36;53;-4;1;56;9
Torsby           ;11 472;-77;101;197;-96;464;177;171;116;447;215;189;43;17;-38;-18;73;2
Årjäng           ;9 942;-54;84;113;-29;387;117;155;115;422;174;146;102;-35;-57;9;13;10
Örebro           ;306 792;1 149;3 297;2 856;441;10 373;.;8 825;1 548;9 755;.;8 899;856;618;.;-74;692;90
Askersund        ;11 534;63;92;128;-36;671;358;257;56;575;314;246;15;96;44;11;41;3
Degerfors        ;9 534;-97;65;119;-54;515;258;216;41;562;320;229;13;-47;-62;-13;28;4
Hallsberg        ;16 196;206;194;158;36;1 234;809;360;65;1 075;674;357;44;159;135;3;21;11
Hällefors        ;6 849;-47;72;121;-49;466;118;298;50;468;114;339;15;-2;4;-41;35;4
Karlskoga        ;30 437;174;335;365;-30;1 471;567;767;137;1 269;468;740;61;202;99;27;76;2
Kumla            ;22 144;282;211;193;18;1 465;1 072;314;79;1 201;837;322;42;264;235;-8;37;0
Laxå             ;5 582;-77;44;72;-28;324;142;122;60;381;214;153;14;-57;-72;-31;46;8
Lekeberg         ;8 603;131;92;71;21;635;466;120;49;527;358;165;4;108;108;-45;45;2
Lindesberg       ;23 601;-57;238;275;-37;1 170;479;576;115;1 192;514;619;59;-22;-35;-43;56;2
Ljusnarsberg     ;4 604;-70;39;86;-47;280;63;171;46;317;104;196;17;-37;-41;-25;29;14
Nora             ;10 721;35;90;132;-42;645;330;286;29;569;334;225;10;76;-4;61;19;1
Örebro           ;156 987;606;1 825;1 136;689;8 346;2 187;5 338;821;8 468;2 598;5 308;562;-122;-411;30;259;39
Västmanland      ;278 967;1 826;2 829;2 736;93;10 826;.;9 073;1 753;9 275;.;8 413;862;1 551;.;660;891;182
Arboga           ;14 100;61;132;172;-40;857;227;558;72;768;190;552;26;89;37;6;46;12
Fagersta         ;13 319;52;134;156;-22;793;241;469;83;722;309;380;33;71;-68;89;50;3
Hallstahammar    ;16 608;208;171;205;-34;1 248;814;385;49;1 010;622;344;44;238;192;41;5;4
Kungsör          ;8 787;42;93;93;0;566;195;321;50;528;265;239;24;38;-70;82;26;4
Köping           ;26 133;48;248;300;-52;1 346;505;745;96;1 258;464;724;70;88;41;21;26;12
Norberg          ;5 714;-15;50;81;-31;420;117;262;41;404;130;266;8;16;-13;-4;33;0
Sala             ;22 998;131;188;237;-49;1 213;362;794;57;1 044;261;728;55;169;101;66;2;11
Skinnskatteberg  ;4 371;5;25;43;-18;302;133;124;45;282;118;148;16;20;15;-24;29;3
Surahammar       ;10 099;7;99;120;-21;703;457;200;46;685;446;231;8;18;11;-31;38;10
Västerås         ;156 838;1 287;1 689;1 329;360;7 888;1 459;5 215;1 214;7 084;1 705;4 801;578;804;-246;414;636;123
Dalarna          ;288 387;711;2 790;3 053;-263;9 164;.;7 686;1 478;8 276;.;7 614;662;888;.;72;816;86
Avesta           ;22 925;-142;260;275;-15;979;172;700;107;1 112;202;853;57;-133;-30;-153;50;6
Borlänge         ;52 254;-140;575;468;107;2 492;1 144;1 131;217;2 748;1 123;1 458;167;-256;21;-327;50;9
Falun            ;59 837;309;619;521;98;2 902;901;1 748;253;2 720;964;1 643;113;182;-63;105;140;29
Gagnef           ;10 502;124;105;101;4;571;316;218;37;452;290;144;18;119;26;74;19;1
Hedemora         ;15 458;-4;132;193;-61;810;295;434;81;755;325;396;34;55;-30;38;47;2
Leksand          ;16 012;211;113;175;-62;976;336;556;84;710;277;400;33;266;59;156;51;7
Ludvika          ;26 497;-107;289;327;-38;1 275;333;701;241;1 354;408;891;55;-79;-75;-190;186;10
Malung-Sälen     ;10 218;41;75;98;-23;475;109;315;51;412;104;275;33;63;5;40;18;1
Mora             ;20 670;178;179;230;-51;1 024;319;580;125;803;326;430;47;221;-7;150;78;8
Orsa             ;6 918;41;59;77;-18;413;189;201;23;355;151;171;33;58;38;30;-10;1
Rättvik          ;11 103;56;84;165;-81;584;188;309;87;450;220;204;26;134;-32;105;61;3
Smedjebacken     ;10 933;79;88;118;-30;558;253;276;29;449;193;245;11;109;60;31;18;0
Säter            ;11 242;81;105;112;-7;679;428;205;46;590;385;195;10;89;43;10;36;-1
