Bekkefaret;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bekkelaget;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3413 Stange
Bekkestua;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3024 Bærum
Berg;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1812 Sømna
Berg;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5001 Trondheim
Berge;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4225 Lyngdal
Bergeland;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bergen;Godkjent;01/07/1991;Norsk;By;Kommune;4601 Bergen
Berger;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3023 Nesodden
Bergset;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3424 Rendalen
Bergsmoen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5045 Grong
Bergsåker;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4225 Lyngdal
Berkåk;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5022 Rennebu
Berlevåg;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5440 Berlevåg
Billingstad;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3025 Asker
Binde;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5006 Steinkjer
Biri;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3407 Gjøvik
Birkeland;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;4216 Birkenes
Biskopshavn;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;4601 Bergen
Bismo;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3433 Skjåk
Bispeladegård;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bjelland;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4205 Lindesnes
Bjergsted;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bjerka;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1832 Hemnes
Bjerke;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;0301 Oslo
Bjervamoen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3816 Nome
Bjorøyna;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;4626 Øygarden
Bjølstadmo;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3437 Sel
Bjørkelangen;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3026 Aurskog-Høland
Bjørkhaug;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3818 Tinn
Bjørnevatn;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;5444 Sør-Varanger
Bjørntvedt;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3806 Porsgrunn
Bjår;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3819 Hjartdal
Blaker;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;3030 Lillestrøm
Blakstad;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4214 Froland
Bleik;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1871 Andøy
Blekebakken;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;3806 Porsgrunn
Blokken;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1870 Sortland - Suortá
Blussuvoll;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;5001 Trondheim
Blødekjær;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Statens kartverk;4203 Arendal
Blåsenborg;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bodø;Godkjent;01/07/1991;Norsk;By;Kommune;1804 Bodø
Boganes;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1103 Stavanger
Bogen;Godkjent;01/07/1991;Norsk;Tettsted;Kommune;1853 Evenes
Bolga;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;1837 Meløy
Bondibråten;Godkjent;01/07/1991;Norsk;Tettsted;Statens kartverk;3025 Asker
Borgen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3003 Sarpsborg
Borgenhaugen;Godkjent;01/07/1991;Norsk;Tettbebyggelse;Kommune;3003 Sarpsborg
